name	number	release_date	first_edition	holographic	missing	notes	_file	collection_name	image	release_year
LA 90	90	2008-08-20 00:00:00+02:00	False	False		Japanese version exists (Temple of Anger - Lv.16 DP5c) with 1st and unlimited editions.	la-90-90.md	Legends Awakened	/uploads/la-90.jpg	
MA 40	40	2004-03-15 00:00:00+01:00	False	False		There is a Japanese promo (ADV-P 060) with the illustration and card design  that only changes the language and the collection logo (small star with promo on top)	ma-40-40-1.md	EX Team Magma vs Team Aqua	/uploads/ma-40.jpg	2004.0
MA 40	40	2004-03-15 00:00:00+01:00	False	True			ma-40-40.md	EX Team Magma vs Team Aqua	/uploads/ma-40-h.jpg	
MCD18 7	7	2018-10-16 00:00:00+02:00	False	True		The McDonald's Collection 2018 set was released in English, German, French, Italian and Spanish	mcd18-7-7.md	McDonald's Collection 2018	/uploads/mcd18-7.jpg	
MCD19F 30	30	2019-10-30 00:00:00+01:00	False	True		Exclusive Confetti Holofoil pattern of the French McDonald's Collection 2019	mcd19f-30-30.md	 French McDonald's Collection 2019	/uploads/mcd19f-30.jpg	
SV2A 104	104	2023-06-16 00:00:00+02:00	False	True	False	Japanese exclusive Pokeball variant	mew-104-105-1.md	Pokémon Card 151	/uploads/sv2a-104-poke.jpg	
MEW 104	105	2023-09-22 00:00:00+02:00	False	True	False		mew-104-105-2.md	151	/uploads/mew-104-h-.jpg	
MEW 104	105	2023-09-22 00:00:00+02:00	False	False	False	sv2a 104 in other languages	mew-104-105.md	151	/uploads/mew-104.jpg	
PJU 104	104	1997-03-05 00:00:00+01:00	False	False		Technically not needed given it is the same art as JU 50 but nice to have the first Cubone card ever.	pju-104-104.md	Pokémon Jungle	/uploads/pju-104.jpg	
SCR 072	72	2024-09-13 00:00:00+02:00	False	True	False		scr-072-72-1.md	Stellar Crown	/uploads/scr-72-h.jpg	
SCR 072	72	2024-09-13 00:00:00+02:00	False	False	False	sv7 48 in other languages. I have a copy not displayed here.	scr-072-72.md	Stellar Crown	/uploads/scr-72.jpg	
SM-P 254	254	2018-09-09 00:00:00+02:00	False	False		Japanese exclusive Pokemon Card Gym stamp	sm-p-254-254.md	SM-P Promotional cards	/uploads/sm-p-254.jpeg	
sm8b 053	53	2018-03-02 00:00:00+01:00	False	True		Japanese cracked ice holo exclusive	sm8b-053-53-1.md	Forbidden Light	/uploads/smb8-53-cracked.jpg	
sm8b 053	53	2018-03-02 00:00:00+01:00	False	True		Korean mirror foil exclusive	sm8b-053-53.md	Forbidden Light	/uploads/smb8-53-mirror.jpg	
SV-P/ID 198	198	2025-01-01 00:00:00+01:00	False	False	False		sv-p-id-198-198.md	SV-P Promotional cards (ITCG)	/uploads/sv-p-id-198.jpg	
SV2A 104	104	2023-06-16 00:00:00+02:00	False	True	False	Japanese exclusive Masterball variant	sv2a-104-104.md	Pokémon Card 151	/uploads/sv2a-104-master.jpg	
TM 60	60	2010-11-03 00:00:00+01:00	False	True			tm-60-60-1.md	Triumphant	/uploads/tm-60-h.jpg	
TM 60	60	2010-11-03 00:00:00+01:00	False	False		Japanse version exists (Clash at the Summit - L3 046) in 1st Edition and Unlimited Edition.	tm-60-60.md	Triumphant	/uploads/tm-60.jpg	
TRR 51	51	2004-11-08 00:00:00+01:00	False	False		Japanse version exists (Rocket Gang Strikes Back - PCG3 047) in 1st edition and unlimited.	trr-51-51-1.md	EX Team Rocket Returns	/uploads/trr-51.jpg	
TRR 51	51	2004-11-08 00:00:00+01:00	False	True		Stamped	trr-51-51.md	EX Team Rocket Returns	/uploads/trr-51-h.jpg	
UNB 90	90	2019-05-03 00:00:00+02:00	False	True			unb-90-90-1.md	Unbroken Bonds	/uploads/unb-90-h.jpg	
UNB 90	90	2019-05-03 00:00:00+02:00	False	False	False	sm10 45 in Japanese	unb-90-90.md	Unbroken Bonds	/uploads/unb-90.jpg	
UNM 105	105	2019-08-02 00:00:00+02:00	False	True			unm-105-105-1.md	Unified Minds	/uploads/unm-105-h.jpg	
UNM 105	105	2019-08-02 00:00:00+02:00	False	False	False	No japanese version	unm-105-105.md	Unified Minds	/uploads/unm-105.jpg	
Vending Machine Series 3 - Cubone	104	1998-11-24 00:00:00+01:00	False	False	False		vending-machine-series-3-cubone-104.md	Vending Machine cards	/uploads/vending-machine-cubone.jpg	
